C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),AMPS ratio (mol%),conversion（%）,predicted_AMPS ratio (mol%)_random_forest,abs_error_AMPS ratio (mol%)_random_forest,predicted_conversion（%）_random_forest,abs_error_conversion（%）_random_forest,predicted_AMPS ratio (mol%)_decision_tree,abs_error_AMPS ratio (mol%)_decision_tree,predicted_conversion（%）_decision_tree,abs_error_conversion（%）_decision_tree,predicted_AMPS ratio (mol%)_gbt,abs_error_AMPS ratio (mol%)_gbt,predicted_conversion（%）_gbt,abs_error_conversion（%）_gbt,predicted_AMPS ratio (mol%)_xgb,abs_error_AMPS ratio (mol%)_xgb,predicted_conversion（%）_xgb,abs_error_conversion（%）_xgb,predicted_AMPS ratio (mol%)_svr,abs_error_AMPS ratio (mol%)_svr,predicted_conversion（%）_svr,abs_error_conversion（%）_svr,predicted_AMPS ratio (mol%)_linear_regression,abs_error_AMPS ratio (mol%)_linear_regression,predicted_conversion（%）_linear_regression,abs_error_conversion（%）_linear_regression
0.11173184357541902,0.00111731843575419,0.0,1.79,5,30,1.5,30.0,98.6,29.12,0.88,93.286,5.314,30.0,0.0,98.6,0.0,30.031,-0.031,96.19,2.41,29.939,0.061,97.751,0.849,30.321,-0.321,98.5,0.1,30.078,-0.078,98.139,0.461
0.00011210762331838599,0.0011210762331838602,0.0112107623318386,2.23,0,30,2.0,30.0,95.6,28.92,1.08,92.306,3.294,30.0,0.0,95.6,0.0,29.536,0.464,92.523,3.077,29.889,0.111,94.902,0.698,29.9,0.1,95.5,0.1,28.835,1.165,89.119,6.481
0.0112107623318386,0.112107623318386,0.0,2.23,10,30,0.5,30.0,98.3,29.88,0.12,97.582,0.718,30.0,0.0,98.3,0.0,30.638,-0.638,98.195,0.105,29.949,0.051,98.105,0.195,29.979,0.021,97.731,0.569,29.752,0.248,97.492,0.808
0.112107623318386,0.0,0.00011210762331838599,2.23,15,30,1.0,30.0,96.8,29.46,0.54,94.402,2.398,30.0,0.0,96.0,0.8,30.193,-0.193,94.128,2.672,30.14,-0.14,97.858,-1.058,30.273,-0.273,98.188,-1.388,30.27,-0.27,99.095,-2.295
0.0,0.11194029850746301,0.0111940298507463,2.68,5,30,1.0,30.0,97.5,28.22,1.78,95.114,2.386,30.0,0.0,97.5,0.0,29.303,0.697,96.574,0.926,29.986,0.014,97.245,0.255,29.832,0.168,97.6,-0.1,30.06,-0.06,98.924,-1.424
0.00111940298507463,0.000111940298507463,0.0,2.68,15,30,2.0,30.0,96.0,29.4,0.6,95.302,0.698,30.0,0.0,96.0,0.0,29.827,0.173,96.035,-0.035,29.914,0.086,95.943,0.057,29.856,0.144,96.445,-0.445,29.425,0.575,92.163,3.837
0.0111940298507463,0.00111940298507463,0.000111940298507463,2.68,20,30,0.0,30.0,94.3,29.76,0.24,93.844,0.456,30.0,0.0,94.3,0.0,30.276,-0.276,96.18,-1.88,30.058,-0.058,94.902,-0.602,29.748,0.252,95.359,-1.059,28.838,1.162,89.608,4.692
0.11194029850746301,0.0111940298507463,0.00111940298507463,2.68,0,30,0.5,30.0,97.0,29.66,0.34,97.224,-0.224,30.0,0.0,97.0,0.0,30.366,-0.366,97.53,-0.53,30.01,-0.01,97.298,-0.298,30.1,-0.1,97.11,-0.11,30.894,-0.894,103.704,-6.704
0.0,0.00111821086261981,0.11182108626198099,3.13,15,30,0.5,20.0,50.0,23.14,-3.14,62.952,-12.952,20.0,0.0,50.0,0.0,20.249,-0.249,50.476,-0.476,20.103,-0.103,50.507,-0.507,26.831,-6.831,63.354,-13.354,26.743,-6.743,75.719,-25.719
0.000111821086261981,0.0111821086261981,0.0,3.13,20,30,1.0,30.0,98.0,29.4,0.6,97.416,0.584,30.0,0.0,98.0,0.0,30.106,-0.106,97.675,0.325,30.051,-0.051,97.923,0.077,29.62,0.38,97.283,0.717,29.627,0.373,93.824,4.176
0.00111821086261981,0.11182108626198099,0.000111821086261981,3.13,0,30,1.5,30.0,97.0,29.02,0.98,96.888,0.112,30.0,0.0,97.0,0.0,30.555,-0.555,97.14,-0.14,30.212,-0.212,97.614,-0.614,29.995,0.005,97.682,-0.682,31.09,-1.09,105.035,-8.035
0.0111821086261981,0.0,0.00111821086261981,3.13,5,30,2.0,30.0,96.0,29.38,0.62,90.192,5.808,30.0,0.0,96.0,0.0,29.209,0.791,93.382,2.618,29.965,0.035,95.779,0.221,29.459,0.541,95.9,0.1,30.195,-0.195,97.12,-1.12
0.11182108626198099,0.000111821086261981,0.0111821086261981,3.13,10,30,0.0,30.0,98.0,29.86,0.14,97.558,0.442,30.0,0.0,98.0,0.0,30.278,-0.278,98.488,-0.488,30.017,-0.017,98.105,-0.105,29.866,0.134,98.268,-0.268,30.75,-0.75,102.353,-4.353
0.00125,0.00125,0.00125,1.2,10,40,1.0,36.0,69.6,35.76,0.24,72.738,-3.138,36.0,0.0,69.6,0.0,35.237,0.763,70.303,-0.703,35.904,0.096,69.512,0.088,39.579,-3.579,74.586,-4.986,37.575,-1.575,82.424,-12.824
0.0125,0.0125,0.0125,1.2,15,40,1.5,36.0,71.2,36.0,0.0,78.698,-7.498,33.0,3.0,92.5,-21.3,36.066,-0.066,73.808,-2.608,37.433,-1.433,63.43,7.77,38.829,-2.829,70.048,1.152,37.698,-1.698,83.0,-11.8
0.125,0.125,0.125,1.2,20,40,2.0,40.0,96.5,37.76,2.24,92.49,4.01,40.0,0.0,96.5,0.0,39.889,0.111,96.566,-0.066,40.049,-0.049,96.482,0.018,38.735,1.265,98.112,-1.612,37.977,2.023,86.78,9.72
0.0,0.0125,0.000125,1.6,10,40,2.0,36.0,80.0,35.52,0.48,75.726,4.274,36.0,0.0,80.0,0.0,35.752,0.248,77.524,2.476,35.92,0.08,79.002,0.998,39.821,-3.821,84.652,-4.652,38.494,-2.494,87.577,-7.577
0.000125,0.125,0.00125,1.6,15,40,0.0,33.0,68.4,34.24,-1.24,77.812,-9.412,33.0,0.0,68.4,0.0,33.937,-0.937,73.227,-4.827,33.077,-0.077,68.661,-0.261,39.792,-6.792,97.777,-29.377,38.857,-5.857,92.834,-24.434
0.00125,0.0,0.0125,1.6,20,40,0.5,23.0,31.2,27.28,-4.28,46.434,-15.234,23.0,0.0,31.2,0.0,24.466,-1.466,36.474,-5.274,23.121,-0.121,31.751,-0.551,38.958,-15.958,81.106,-49.906,37.447,-14.447,81.367,-50.167
0.0125,0.000125,0.125,1.6,0,40,1.0,32.0,62.0,33.3,-1.3,67.296,-5.296,32.0,0.0,62.0,0.0,32.088,-0.088,60.524,1.476,31.992,0.008,61.663,0.337,36.091,-4.091,62.1,-0.1,35.362,-3.362,68.38,-6.38
0.125,0.00125,0.0,1.6,5,40,1.5,40.0,99.4,38.62,1.38,97.106,2.294,40.0,0.0,99.4,0.0,39.94,0.06,98.646,0.754,40.056,-0.056,99.564,-0.164,40.1,-0.1,99.3,0.1,40.195,-0.195,99.412,-0.012
0.000125,0.00125,0.0125,2.0,0,40,2.0,40.0,94.7,37.88,2.12,89.392,5.308,40.0,0.0,95.0,-0.3,37.184,2.816,89.328,5.372,39.468,0.532,88.298,6.402,39.731,0.269,96.22,-1.52,38.672,1.328,88.557,6.143
0.0125,0.125,0.0,2.0,10,40,0.5,40.0,95.0,40.0,0.0,95.512,-0.512,40.0,0.0,95.0,0.0,39.837,0.163,95.361,-0.361,40.05,-0.05,94.919,0.081,40.1,-0.1,97.142,-2.142,39.769,0.231,98.289,-3.289
0.125,0.0,0.000125,2.0,15,40,1.0,40.0,98.0,35.98,4.02,94.14,3.86,40.0,0.0,98.0,0.0,39.968,0.032,97.186,0.814,39.864,0.136,97.944,0.056,40.1,-0.1,97.9,0.1,40.334,-0.334,100.052,-2.052
0.0,0.125,0.0125,2.4,5,40,1.0,36.0,85.4,36.94,-0.94,89.594,-4.194,36.0,0.0,85.4,0.0,37.184,-1.184,87.159,-1.759,36.026,-0.026,86.059,-0.659,39.898,-3.898,96.952,-11.552,39.97,-3.97,99.071,-13.671
0.00125,0.000125,0.0,2.4,15,40,2.0,40.0,98.0,39.18,0.82,95.982,2.018,40.0,0.0,98.0,0.0,39.197,0.803,95.223,2.777,40.037,-0.037,97.432,0.568,39.894,0.106,95.734,2.266,39.237,0.763,91.47,6.53
0.0125,0.00125,0.000125,2.4,20,40,0.0,40.0,96.7,39.18,0.82,95.87,0.83,40.0,0.0,96.7,0.0,39.751,0.249,95.28,1.42,40.014,-0.014,96.0,0.7,39.6,0.4,95.046,1.654,38.669,1.331,89.044,7.656
