,C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),AMPS ratio (mol%),conversion（%）
103,0.00915750915750916,0.00915750915750916,0.09157509157509161,2.73,5,10,0.0,10.0,96.0
72,0.000125,0.0125,0.0,2.8,20,40,1.0,40.0,98.0
97,0.00914634146341463,0.000914634146341463,0.000914634146341463,1.64,10,10,1.0,9.0,80.0
31,0.0980392156862745,0.009803921568627449,0.000980392156862745,3.06,0,20,0.5,20.0,97.0
140,0.00833333333333333,0.0034722222222222203,0.0,1.8,5,50,2.0,50.0,97.2
164,0.0075,0.003125,0.0,2.0,10,40,2.0,40.0,95.2
61,0.00125,0.0,0.0125,1.6,20,40,0.5,23.0,31.2
94,0.0138888888888889,0.0,0.00138888888888889,2.52,5,50,2.0,50.0,96.2
35,0.0980392156862745,9.80392156862745e-05,0.009803921568627449,3.57,10,20,0.0,20.0,98.0
112,0.00630252100840336,0.00262605042016807,0.0,2.38,5,25,2.0,25.0,96.2
54,0.0111821086261981,0.0,0.00111821086261981,3.13,5,30,2.0,30.0,96.0
91,0.0,0.00138888888888889,0.138888888888889,2.52,15,50,0.5,38.0,1.4
37,0.0111940298507463,0.0111940298507463,0.0111940298507463,1.34,15,30,1.5,29.0,92.5
55,0.11182108626198099,0.000111821086261981,0.0111821086261981,3.13,10,30,0.0,30.0,98.0
29,0.000980392156862745,9.80392156862745e-05,0.0,3.06,15,20,2.0,20.0,96.0
125,0.0,0.01662,0.0,1.80505415162455,15,70,0.0,70.0,95.6
39,0.0,0.0111731843575419,0.00011173184357541901,1.79,10,30,2.0,28.0,85.8
154,0.00138888888888889,0.00555555555555556,0.0,1.8,5,50,0.5,50.0,97.3
